country_code,country,year,gdp_growth,gdp_per_capita_usd,inflation,unemployment,current_account_gdp,reserves_months_imports,official_exchange_rate,trade_gdp,fdi_inflows_gdp,external_debt_gni
EGY,Egypt,2000,6.37000382991766,1366.09274372613,2.68380535348546,8.98,-0.972570273448986,6.92773642731755,3.47205,39.0179359012055,1.23699720670391,29.1436697781484
EGY,Egypt,2001,3.53525197391507,1295.1374184163,2.26975720475956,9.26,-0.401718427655422,7.45748900818796,3.973,39.8104265402844,0.527384722609423,28.9819896399422
EGY,Egypt,2002,2.39020402675627,1116.82884626213,2.73723855000334,10.01,0.730979150171549,8.25026634670873,4.49966666666667,40.9870678279229,0.759753233043019,34.8088896707165
EGY,Egypt,2003,3.19345473756772,1031.27556291284,4.50777636319304,10.91,4.66231377245509,8.55089573372287,5.850875,46.1796407185629,0.295683832335329,37.9984128219101
EGY,Egypt,2004,4.09207161019908,991.255689145253,11.270619332052,10.32,4.97788419534309,6.63684137548043,6.19624166666666,57.8199052132701,1.59083618380383,39.9656119503054
EGY,Egypt,2005,4.4717444710621,1105.53920713903,4.86939696871988,11.049,2.34529559888579,7.32906037591457,5.77883333333333,62.9526462395543,5.99551598885794,34.1985013048919
EGY,Egypt,2006,6.84383819369884,1298.97900203124,7.64452644526434,10.49,2.45322162862231,7.36480504492886,5.73316666666666,61.5185365063947,9.34856726566294,28.7414925057896
EGY,Egypt,2007,7.08782742675582,1547.74170735909,9.3189690579923,8.8,0.315552631578947,6.95056522562452,5.63543333333334,65.077873254565,8.87633606337272,26.2922867901955
EGY,Egypt,2008,7.15628356711522,1896.21594269779,18.3168316831684,8.517,-0.868821887213847,5.97060049450951,5.4325,71.6806253489671,5.8314126186488,20.6637689686303
EGY,Egypt,2009,4.67359980000663,2161.63964573927,11.7634954386443,9.087,-1.7707391095759,7.35827452765158,5.54455330862977,56.5534446363462,3.54835118019574,18.7094477594032
EGY,Egypt,2010,5.14723485746742,2455.08194645282,11.2651882653185,8.757,-2.05668307641306,6.70121378987163,5.6219429176105,47.9363500745898,2.91601657550141,17.1484993453553
EGY,Egypt,2011,1.76457194806041,2590.64384891965,10.0649259874818,11.849,-2.32378812632193,3.28531568230903,5.93282765151515,45.2556341623514,-0.204542848807527,15.3121406993227
EGY,Egypt,2012,2.22619979818487,2996.0677072015,7.11172943343083,12.597,-2.49788021735236,2.48779534146603,6.05605833333333,40.7117692721084,1.00234071774049,14.6941589979995
EGY,Egypt,2013,2.18546605363386,3025.52563552448,9.46971981064921,13.154,-1.22513249838744,2.73003963526374,6.870325,40.373038056332,1.45343420769727,16.5588608179564
EGY,Egypt,2014,2.91591188052836,3133.39102265541,10.0702154687481,13.105,-1.94849131455399,2.21204888604566,7.07760856060606,36.9201877934272,1.50925042253521,14.0020767838652
EGY,Egypt,2015,4.37201907781687,3306.98159414141,10.370490343517,13.052,-5.23529137853431,2.59707505474829,7.69125833333333,34.8459429600229,2.10258128401326,15.4090910799379
EGY,Egypt,2016,4.34664345601914,3270.6287768197,13.813606214829,12.45,-6.16465951871263,3.8854106958735,10.0254007885465,30.2465490514505,2.43856278142762,21.0959884446522
EGY,Egypt,2017,4.18122099961562,2395.10333299491,29.5066083940039,11.767,-3.19681566782461,5.72306111855628,17.7825335150636,42.8321343581608,2.98301550917695,34.6961018574758
EGY,Egypt,2018,5.33110861887155,2484.70315630508,14.4014657807422,9.855,-2.93164483711978,5.85734270401284,17.7672904218107,45.9110196733959,3.10040077579187,38.8036123837843
EGY,Egypt,2019,5.55209307084222,2962.98892023003,9.15279959324804,7.851,-3.20758543154938,5.83923947440236,16.7705818428763,41.1240171551108,2.82732944960686,37.3486377137165
EGY,Egypt,2020,3.55016483883115,3511.11381026379,5.04493288977539,7.974,-3.70903990583375,5.56473451430895,15.7591729166667,32.1262555667523,1.52462948997172,35.5843178235706
EGY,Egypt,2021,3.29064601193245,3827.35415374308,5.21404940513043,7.441,-4.38240299812001,4.38225643427728,15.6445272777113,29.8569734808122,1.20617861055665,35.4130599251787
EGY,Egypt,2022,6.58784560870467,4233.30783744856,13.8956609775178,6.546,-2.2100904275198,3.32738146369502,19.1604397412204,36.9831048772713,2.39118080969079,35.3832819125992
EGY,Egypt,2023,3.76028052279247,3456.78965212363,33.8847763115546,6.753,-3.17338763053558,3.87390992001782,30.6264136980311,40.4504007720031,2.48546400695984,44.4212432479616
EGY,Egypt,2024,2.3991692678251,3338.47371043679,28.2705899322083,6.817,-5.68596234093524,4.53950764706678,45.29926,39.6007520873733,11.9719351009449,41.9820138564051
EGY,Egypt,2025,4.39201068570188,3085.80712036204,14.0735136645934,6.781,-3.81547628555514,4.35960492991794,49.2277558333333,51.334347878828,4.23066505478546,
IND,India,2000,3.84099115686554,442.750218937263,4.0094359104519,7.589,-0.982342580017138,6.1214797944893,44.941605,26.9009229104474,0.765211694280817,21.8228803066691
IND,India,2001,4.82396626397303,450.357900514128,3.77929312235637,7.611,0.290495460210208,7.45295243694093,47.1864141666667,25.9932547534365,1.05638020993358,20.6760979408451
IND,India,2002,3.80397532120038,469.149928973927,4.29715203929562,7.681,1.37093793900847,10.3730834871592,48.6103191666667,29.5086629350614,1.01156946489919,20.6731997171964
IND,India,2003,7.86038147545045,544.143133545002,3.80585899528853,7.633,1.44355773291234,12.2832820147208,46.5832841666667,30.592436132908,0.605887857091792,19.7091758741244
IND,India,2004,7.92293661307978,624.258826510066,3.76725173477517,7.598,0.110018010197154,11.3051095119993,45.3164666666666,37.503814059447,0.765596855110284,17.5588240572864
IND,India,2005,7.92343062131789,710.488080408949,4.24634362031924,7.551,-1.25350400207393,8.51847317184615,44.099975,42.0016696148691,0.886098378458823,14.8800140528443
IND,India,2006,8.06073257305057,801.668353659022,5.79652337561634,7.553,-0.988988302952292,8.91992866511892,45.3070083333333,45.7244804992652,2.13016842534495,17.0996791242773
IND,India,2007,7.66081506510766,1021.88707706826,6.37288135593231,7.562,-0.663717648772609,11.1391919314526,41.3485333333333,45.686268679348,2.07339404668754,16.8414102457773
IND,India,2008,3.08669805950082,992.519584923828,8.34926704907575,7.629,-2.58337749259838,7.71425265694142,43.5051833333333,53.3682204392226,3.6205232354017,19.0572058938661
IND,India,2009,7.8618888330338,1094.94974598436,10.8823529411764,7.636,-1.95146209111802,9.77371114314451,48.4052666666666,46.2728696428837,2.65159033235479,19.2155611185983
IND,India,2010,8.49758470165625,1347.51939071367,11.9893899204245,7.631,-3.25348368945179,7.76063411026838,45.7258121212121,49.2552064974161,1.6350340943491,17.520327243228
IND,India,2011,5.24131620024293,1445.46127486037,8.9117933648336,7.609,-3.42928468606061,6.18879010347658,46.6704666666667,55.6238800135298,2.0020634629993,18.5055609944676
IND,India,2012,5.45638755164772,1429.32199520032,9.47899691419793,7.645,-5.00488971805303,5.90371509588661,53.4372333333333,55.7937217287511,1.31293453035323,21.7351878662519
IND,India,2013,6.38610640091713,1432.84397512195,10.0178784746104,7.678,-2.64566711733892,6.02774649537524,58.5978454166667,53.8441319466777,1.5162764665975,23.3008757774803
IND,India,2014,7.41022760516977,1553.88396075118,6.66565671867899,7.656,-1.33950896483453,6.5991330802017,61.0295144607843,48.9221857470669,1.69565958990806,22.7049198417658
IND,India,2015,7.99625378567987,1583.99815907985,4.90697344127249,7.629,-1.06754907167965,8.00309182929653,64.1519444632786,41.9229138658647,2.09211521443253,23.0297689509967
IND,India,2016,8.25630550176662,1707.50892912243,4.94821634062134,7.611,-0.52788060603752,8.43013905768235,67.1953128073894,40.082485713276,1.9373641224439,20.0812235448632
IND,India,2017,6.79538341902422,1950.10468280866,3.32817337461305,7.626,-1.43948820320989,8.16271866943629,65.1215686450659,40.7424969545225,1.50731583255894,19.5049373712632
IND,India,2018,6.45385134495295,1966.25455171679,3.93882646691643,7.652,-2.42697545810527,6.90105548512364,68.3894670935422,43.6169693323889,1.55821483801456,19.4905310721105
IND,India,2019,3.87143694070524,2041.42863698585,3.72950573539123,6.51,-1.04961203910072,8.27365940048396,70.4203405359551,39.9054035306442,1.78482633957161,19.9766366353145
IND,India,2020,-5.77772470687303,1907.04251637669,6.6234367762853,7.859,1.22362111042791,12.9323281065786,74.0995668836052,37.7581053292768,2.40620322673636,21.4094740100862
IND,India,2021,9.68959249191741,2239.61384367482,5.13140747176364,6.38,-1.05524166809383,9.84238574452328,73.9180128154351,45.4230887840446,1.41217101040888,19.5524130311129
IND,India,2022,7.6093649776932,2279.98145719369,6.69903414079858,4.822,-2.43238270956779,7.00951210544359,78.6044905829916,50.6979382758042,1.53665241748393,18.6518069060743
IND,India,2023,7.210224629335,2434.44826340989,5.64914318907925,4.172,-0.912777939495827,7.97237314389747,82.5992764460784,46.3229520582338,0.802254995836756,18.0442974446192
IND,India,2024,7.09927893176518,2591.9916607122,4.95303550973661,4.173,-0.851289719084462,7.52136088188696,83.669281580941,45.9166907678748,0.721648483526777,18.5795533694083
IND,India,2025,7.56666179284244,2702.47987141553,2.39884954182294,4.219,-0.416854153498652,7.8761457217327,87.1584483507393,46.2682006859907,0.988285383995246,
LKA,Sri Lanka,2000,6.00003315828934,860.199884304769,6.17627591012045,7.74,-6.28823142949348,1.58714434823302,77.0051166666667,88.636441704913,1.04207418020439,57.7533288076129
LKA,Sri Lanka,2001,-1.54540813366026,803.544026627385,14.15845579912,7.9,-1.36821186331088,2.17164791078699,89.3830133333334,80.8986015327576,1.09074720867871,57.8751303065509
LKA,Sri Lanka,2002,3.96467568513113,834.936014905338,9.55103167007251,8.76,-1.42925945944237,2.76244828857589,95.662065,76.3351317826517,1.1882779089504,62.1603882135227
LKA,Sri Lanka,2003,5.9402690780223,946.382255128072,6.31463787051174,8.22,-0.374541248460878,3.48962758206167,96.5209508333333,75.336247330543,1.21132740876657,57.3262074199874
LKA,Sri Lanka,2004,5.44506127885352,1028.62068132555,7.57592582995856,8.38,-3.1340311530145,2.79452832970533,101.1944575,79.4829449011187,1.12667735136244,56.7045793171603
LKA,Sri Lanka,2005,6.24174804376447,1207.21994764165,11.6396860971118,7.67,-2.66382240513017,3.14335216125469,100.498051666667,73.6039729580533,1.11612854301768,46.8753052051031
LKA,Sri Lanka,2006,7.66829190107919,1388.89739119932,10.0201836057035,6.5,-5.29942775531871,2.75826396952475,103.914445833333,71.2611784883009,1.6970072277349,42.4995102864864
LKA,Sri Lanka,2007,6.79682611892866,1578.63451125392,15.8421114924843,5.97,-4.33041626176129,3.11009398828274,110.623233333333,68.6065116601391,1.8639738781084,44.2579988597844
LKA,Sri Lanka,2008,5.95008814473897,1973.58476901287,22.5644955300126,5.22,-9.54319542329735,1.85908918664799,108.333762719298,63.369043608222,1.84752962305149,41.0645558757827
LKA,Sri Lanka,2009,3.53891205317842,2026.65939950702,3.46496322106074,5.85,-0.510385718302903,5.21548674233438,114.944783333333,49.1491415308235,0.960390452698523,46.9067288289757
LKA,Sri Lanka,2010,8.01596737040464,2808.36245207687,6.2176488930462,4.784,-1.83339431574737,5.34354431776972,113.064480448821,,0.814446067583227,37.3743097647659
LKA,Sri Lanka,2011,8.66948301160571,3224.95745082305,6.7167684358854,4.118,-6.81209765681019,3.46079601554795,110.565207851396,,1.41088360151362,38.4422070940857
LKA,Sri Lanka,2012,8.6321813769906,3327.77612404326,7.54291373239437,3.88,-5.69099820826854,3.68897815263594,127.60335350681,,1.33591734742632,51.6165842309571
LKA,Sri Lanka,2013,4.0517463303875,3739.43182292825,6.90845034828452,4.186,-3.30046822137757,3.84760389405601,129.069030932888,,1.21148000059153,52.2481960961188
LKA,Sri Lanka,2014,6.37797889684965,3972.04377042271,3.1790022823606,4.157,-2.40840557196081,3.92468380375978,130.564685218829,,1.08277813405104,52.3589316985507
LKA,Sri Lanka,2015,4.20595547501601,4057.71582716521,3.76836783062096,4.519,-2.21267766608825,3.48457714580902,135.856912797089,46.9179708088698,0.798746316666859,52.8797914705966
LKA,Sri Lanka,2016,5.05362488993089,4149.19189391879,3.9588884659307,4.242,-1.97999493165089,2.79773151721733,145.581667492026,46.4715370250761,1.01937184801285,54.3824177664107
LKA,Sri Lanka,2017,6.46068127080994,4398.88828786059,7.70413767850602,4.046,-2.4467643490753,3.42413053355997,152.446413948767,47.1404098001494,1.45462805110061,55.1482519976375
LKA,Sri Lanka,2018,2.31008425504933,4358.56095905888,2.135037737132,4.318,-2.96352841915887,2.81773247932961,162.464858736778,49.8093967520437,1.70888696252064,57.4892865658485
LKA,Sri Lanka,2019,-0.220483886824823,4081.94772178134,3.52839358231811,4.67,-2.07126631647205,3.36492073802705,178.744925045848,49.4255238852768,0.835367460265196,64.8548435072259
LKA,Sri Lanka,2020,-4.62451503712715,3847.60136741182,6.15394508391738,5.364,-1.40761495020573,3.28744685628801,185.592557772213,37.0891188568192,0.514700553944402,69.3131980107832
LKA,Sri Lanka,2021,4.2074764950026,3996.96240531688,7.01478071238195,4.981,-3.70866603299245,1.59499450325141,198.764316844656,41.2288463294978,0.668825708548416,67.8564357341891
LKA,Sri Lanka,2022,-7.34919311146656,3342.63650438046,49.7211021114327,4.528,-1.95359411068218,1.06429793828172,322.632674256475,46.6826080179359,1.19249322162632,81.2809065665702
LKA,Sri Lanka,2023,-2.0289296690344,3815.41531767474,16.5411742279832,4.528,1.71159541534782,2.38312008892393,327.506533333333,43.3476681195134,0.848017076796717,74.5886504230503
LKA,Sri Lanka,2024,4.99241614398109,4545.36006870612,-0.42936004906973,4.239,1.21048332599166,2.86493580597895,,42.1196098331113,0.764077754153862,58.8897020425324
LKA,Sri Lanka,2025,4.9534339114043,5002.07904353724,-4.76386036960983,4.005,,,,41.8090026525048,,
PAK,Pakistan,2000,4.2600880111325,642.338346499898,4.36666451291681,0.614,-0.0854401858342493,1.74390829203355,53.6481865,21.4599638884654,0.309595026317044,33.9620062505144
PAK,Pakistan,2001,3.65135017083765,609.939506905073,3.14826144590618,0.611,1.93318034244488,3.57949112885884,61.9271616666666,23.5772074298467,0.38910658649849,34.0673947984518
PAK,Pakistan,2002,2.59481668445784,599.937345723927,3.29034472613153,0.615,3.93573326208505,7.04603670076939,59.7237816666667,23.1290159545291,0.843517300073237,35.8788695669919
PAK,Pakistan,2003,5.40131087314342,672.44178669894,2.91413470059479,0.612,3.17962013910419,8.04969107732453,57.7519966666667,24.6501585248398,0.475207711805665,33.5755290063407
PAK,Pakistan,2004,7.83125556961251,771.902247348954,7.44462469342739,0.598,-0.617928012719509,5.23027871845457,58.2578633333333,24.8083348519064,0.845585701616171,28.3672551340564
PAK,Pakistan,2005,7.2765744364722,827.619861189926,9.06332737030417,0.583,-2.48346235681318,4.10846536969125,59.514475,29.8784940550747,1.51575083116461,24.1708210827745
PAK,Pakistan,2006,6.05163767569996,900.873564984808,7.92108440058789,0.582,-4.16812395772995,3.95263736700649,60.271335,33.0497193672284,2.63975006245443,23.6546444840212
PAK,Pakistan,2007,4.4448143398844,998.090114197524,7.59868441050774,0.398,-4.50796175781862,4.44077791912762,60.7385158333334,30.7878814312746,3.03571933817685,23.5562652643419
PAK,Pakistan,2008,2.1204410433083,1067.04324565284,20.2861210929554,0.423,-7.74194351471585,2.02131984108012,70.4080333333333,34.3489608135242,2.68936656124595,25.2733638555471
PAK,Pakistan,2009,3.47255059567348,963.788066395225,13.6477650639761,0.535,-2.13167355660601,4.14689927959042,81.7128916666666,33.3268872863988,1.24801305527951,31.1190703612064
PAK,Pakistan,2010,1.50171752152883,987.304571124485,12.9388705634889,0.653,-0.688324235118166,4.71850424926723,85.1938163257576,31.9890020462315,1.02791108080423,32.7811905556848
PAK,Pakistan,2011,2.68011685421705,1131.73513834324,11.9160927116277,0.796,-0.957124213324854,4.15696352930241,86.3433833333333,32.3626382751438,0.575055145839944,28.567490409755
PAK,Pakistan,2012,3.02758391088629,1204.36475491585,9.68235186055684,3.667,-0.936399348037174,3.10654658664889,93.3951972222222,31.3189732760076,0.343453048660945,25.8754627988566
PAK,Pakistan,2013,4.36686504978387,1225.4340119198,7.69215611899565,2.954,-1.70727876868057,1.71197854264599,101.628899206349,30.8902743401844,0.515353849332245,23.6165694934777
PAK,Pakistan,2014,4.11642817161422,1266.61340849959,7.18938402847028,1.827,-1.34787339235798,3.06826560863817,101.100088423521,29.4698256903998,0.695308116834202,24.0363183529915
PAK,Pakistan,2015,4.21794209572506,1380.47020838317,2.52932817254229,3.566,-0.934446742353906,4.42784130835912,102.769271604675,26.6881860172247,0.557734356032139,23.250373675072
PAK,Pakistan,2016,6.57383828511043,1424.69161195897,3.7651191635658,2.285,-2.29279660651385,4.59066972648983,104.769117033301,24.7015780480573,0.821349998064174,24.3711794392753
PAK,Pakistan,2017,4.43262590683975,1519.23459514248,4.08537368032608,3.204,-4.76985760466006,3.14740277594098,105.455162087938,25.472035002344,0.735837049658425,27.8523788602803
PAK,Pakistan,2018,6.15170261099519,1569.33814626355,5.07805725868917,4.083,-5.29556175645778,1.90523052542491,121.824068875756,27.6260570796337,0.487745750658143,28.5494742437705
PAK,Pakistan,2019,2.49763692943365,1390.41690981745,10.5780305672025,4.83,-2.66677325730292,3.08190201214363,150.036253839864,28.9055769867032,0.696146480411465,34.9183625831205
PAK,Pakistan,2020,-1.27408744338709,1278.39735206896,9.74011619320125,5.994,-0.216650637871501,3.8689080390316,161.838479684718,26.7162807328814,0.684695289874347,39.9870693569552
